well	UH
i	PRP
sidled	VBD
towards	IN
the	DT
steps	NNS
.	.
i	PRP
had	VBD
said	VBN
all	DT
i	PRP
had	VBD
to	TO
say	VB
,	,
and	CC
it	PRP
seemed	VBD
to	IN
me	PRP
that	IN
about	IN
here	RB
the	DT
stage	NN
-	HYPH
direction	NN
"	``
exit	NN
"	''
was	VBD
written	VBN
in	IN
my	PRP$
part	NN
.	.
i	PRP
gave	VBD
poor	JJ
old	JJ
freddie	NNP
up	RP
in	IN
despair	NN
.	.
if	IN
only	RB
he	PRP
had	VBD
said	VBN
a	DT
word	NN
,	,
it	PRP
might	MD
have	VB
been	VBN
all	RB
right	JJ
.	.
but	CC
there	RB
he	PRP
stood	VBD
,	,
speechless	JJ
.	.
what	WP
can	MD
a	DT
fellow	NN
do	VB
with	IN
a	DT
fellow	NN
like	IN
that	DT
?	.
just	RB
out	IN
of	IN
sight	NN
of	IN
the	DT
house	NN
i	PRP
met	VBD
jimmy	NNP
pinkerton	NNP
.	.
"	``
hello	UH
,	,
reggie	NNP
!	.
"	''
he	PRP
said	VBD
.	.
"	``
i	PRP
was	VBD
just	RB
coming	VBG
to	IN
you	PRP
.	.
where	WRB
's	VBZ
the	DT
kid	NN
?	.
we	PRP
must	MD
have	VB
a	DT
big	JJ
rehearsal	NN
to	IN
-	HYPH
day	NN
.	.
"	``
"	``
no	DT
good	JJ
,	,
"	''
i	PRP
said	VBD
sadly	RB
.	.
"	``
it	PRP
's	VBZ
all	RB
over	RB
.	.
the	DT
thing	NN
's	VBZ
finished	VBN
.	.
poor	JJ
dear	JJ
old	JJ
freddie	NNP
has	VBZ
made	VBN
an	DT
ass	NN
of	IN
himself	PRP
and	CC
killed	VBN
the	DT
whole	JJ
show	NN
.	.
"	``
"	``
tell	VB
me	PRP
,	,
"	''
said	VBD
jimmy	NNP
.	.
i	PRP
told	VBD
him	PRP
.	.
"	``
fluffed	VBN
in	IN
his	PRP$
lines	NNS
,	,
did	VBD
he	PRP
?	.
"	''
said	VBD
jimmy	NNP
,	,
nodding	VBG
thoughtfully	RB
.	.
"	``
it	PRP
's	VBZ
always	RB
the	DT
way	NN
with	IN
these	DT
amateurs	NNS
.	.
we	PRP
must	MD
go	VB
back	RB
at	IN
once	RB
.	.
things	NNS
look	VBP
bad	JJ
,	,
but	CC
it	PRP
may	MD
not	RB
be	VB
too	RB
late	JJ
,	,
"	''
he	PRP
said	VBD
as	IN
we	PRP
started	VBD
.	.
"	``
even	RB
now	RB
a	DT
few	JJ
well	RB
-	HYPH
chosen	VBN
words	NNS
from	IN
a	DT
man	NN
of	IN
the	DT
world	NN
,	,
and	CC
"	``
"	``
great	JJ
scot	NN
!	.
"	''
i	PRP
cried	VBD
.	.
"	``
look	VB
!	.
"	''
in	IN
front	NN
of	IN
the	DT
cottage	NN
stood	VBD
six	CD
children	NNS
,	,
a	DT
nurse	NN
,	,
and	CC
the	DT
fellow	NN
from	IN
the	DT
grocer	NN
's	POS
staring	VBG
.	.
from	IN
the	DT
windows	NNS
of	IN
the	DT
houses	NNS
opposite	RB
projected	VBD
about	IN
four	CD
hundred	CD
heads	NNS
of	IN
both	DT
sexes	NNS
,	,
staring	VBG
.	.
down	IN
the	DT
road	NN
came	VBD
galloping	VBG
five	CD
more	JJR
children	NNS
,	,
a	DT
dog	NN
,	,
three	CD
men	NNS
,	,
and	CC
a	DT
boy	NN
,	,
about	JJ
to	TO
stare	VB
.	.
and	CC
on	IN
our	PRP$
porch	NN
,	,
as	RB
unconscious	JJ
of	IN
the	DT
spectators	NNS
as	IN
if	IN
they	PRP
had	VBD
been	VBN
alone	JJ
in	IN
the	DT
sahara	NNP
,	,
stood	VBD
freddie	NNP
and	CC
angela	NNP
,	,
clasped	VBN
in	IN
each	DT
other	JJ
's	POS
arms	NNS
.	.
dear	JJ
old	JJ
freddie	NNP
may	MD
have	VB
been	VBN
fluffy	JJ
in	IN
his	PRP$
lines	NNS
,	,
but	CC
,	,
by	IN
george	NNP
,	,
his	PRP$
business	NN
had	VBD
certainly	RB
gone	VBN
with	IN
a	DT
bang	NN
!	.
rallying	VBG
round	IN
old	JJ
george	NNP
i	PRP
think	VBP
one	CD
of	IN
the	DT
rummiest	JJS
affairs	NNS
i	PRP
was	VBD
ever	RB
mixed	VBN
up	RP
with	IN
,	,
in	IN
the	DT
course	NN
of	IN
a	DT
lifetime	NN
devoted	VBN
to	IN
butting	VBG
into	IN
other	JJ
people	NNS
's	POS
business	NN
,	,
was	VBD
that	DT
affair	NN
of	IN
george	NNP
lattaker	NNP
at	IN
monte	NNP
carlo	NNP
.	.
i	PRP
would	MD
n't	RB
bore	VB
you	PRP
,	,
do	VBP
n't	RB
you	PRP
know	VB
,	,
for	IN
the	DT
world	NN
,	,
but	CC
i	PRP
think	VBP
you	PRP
ought	MD
to	TO
hear	VB
about	IN
it	PRP
.	.
we	PRP
had	VBD
come	VBN
to	IN
monte	NNP
carlo	NNP
on	IN
the	DT
yacht	NN
circe	NNP
,	,
belonging	VBG
to	IN
an	DT
old	JJ
sportsman	NN
of	IN
the	DT
name	NN
of	IN
marshall	NNP
.	.
among	IN
those	DT
present	JJ
were	VBD
myself	PRP
,	,
my	PRP$
man	NN
voules	NNP
,	,
a	DT
mrs	NNP
.	NNP
vanderley	NNP
,	,
her	PRP$
daughter	NN
stella	NNP
,	,
mrs	NNP
.	NNP
vanderley	NNP
's	POS
maid	NN
pilbeam	NNP
and	CC
george	NNP
.	.
"	``
voules	NNP
!	.
"	''
i	PRP
yelled	VBD
.	.
spion	NNP
kop	NNP
ceased	VBD
with	IN
a	DT
jerk	NN
.	.
there	EX
was	VBD
silence	NN
,	,
then	RB
sobs	NNS
diminishing	VBG
in	IN
the	DT
distance	NN
,	,
and	CC
finally	RB
a	DT
tap	NN
at	IN
the	DT
door	NN
.	.
voules	NNP
entered	VBD
with	IN
that	DT
impressive	JJ
,	,
my	PRP$
-	HYPH
lord	NN
-	HYPH
the	DT
-	HYPH
carriage	NN
-	HYPH
waits	NNS
look	NN
which	WDT
is	VBZ
what	WP
i	PRP
pay	VBP
him	PRP
for	IN
.	.
you	PRP
would	MD
n't	RB
have	VB
believed	VBN
he	PRP
had	VBD
a	DT
drop	NN
of	IN
any	DT
sort	NN
of	IN
emotion	NN
in	IN
him	PRP
.	.
"	``
voules	NNP
,	,
"	''
i	PRP
said	VBD
,	,
"	``
are	VBP
you	PRP
under	IN
the	DT
delusion	NN
that	IN
iam	PRP
going	VBG
to	TO
be	VB
queen	NN
of	IN
the	DT
may	NNP
?	.
youhave	PRP
called	VBN
me	PRP
early	RB
all	RB
right	RB
.	.
it	PRP
's	VBZ
only	RB
just	RB
seven	CD
.	.
"	''
"	``
i	PRP
understood	VBD
you	PRP
to	TO
summon	VB
me	PRP
,	,
sir	NN
.	.
"	''
"	``
i	PRP
summoned	VBD
you	PRP
to	TO
find	VB
out	RP
why	WRB
you	PRP
were	VBD
making	VBG
that	DT
infernal	JJ
noise	NN
outside	RB
.	.
"	``
"	``
i	PRP
owe	VBP
you	PRP
an	DT
apology	NN
,	,
sir	NN
.	.
i	PRP
am	VBP
afraid	JJ
that	IN
in	IN
the	DT
heat	NN
of	IN
the	DT
moment	NN
i	PRP
raised	VBD
my	PRP$
voice	NN
.	.
"	``
"	``
it	PRP
's	VBZ
a	DT
wonder	NN
you	PRP
did	VBD
n't	RB
raise	VB
the	DT
roof	NN
.	.
who	WP
was	VBD
that	DT
with	IN
you	PRP
?	.
"	''
"	``
miss	NNP
pilbeam	NNP
,	,
sir	NNP
;	:
mrs	NNP
.	NNP
vanderley	NNP
's	POS
maid	NN
.	.
"	''
"	``
what	WP
was	VBD
all	PDT
the	DT
trouble	NN
about	IN
?	.
"	''
"	``
i	PRP
was	VBD
breaking	VBG
our	PRP$
engagement	NN
,	,
sir	NN
.	.
"	''
i	PRP
could	MD
n't	RB
help	VB
gaping	VBG
.	.
somehow	RB
one	PRP
did	VBD
n't	RB
associate	VB
voules	NNP
with	IN
engagements	NNS
.	.
then	RB
it	PRP
