yes	UH
,	,
my	PRP$
importunate	JJ
son	NN
,	,
you	PRP
’d	MD
be	VB
a	DT
marvellous	JJ
kid	NN
!	.
the	DT
beginning	NN
of	IN
the	DT
armadillos	NNPS
this	DT
,	,
o	XX
best	RBS
beloved	JJ
,	,
is	VBZ
another	DT
story	NN
of	IN
the	DT
high	JJ
and	CC
far	RB
-	HYPH
off	RP
times	NNS
.	.
in	IN
the	DT
very	RB
middle	NN
of	IN
those	DT
times	NNS
was	VBD
a	DT
stickly	JJ
-	HYPH
prickly	JJ
hedgehog	NN
,	,
and	CC
he	PRP
lived	VBD
on	IN
the	DT
banks	NNS
of	IN
the	DT
turbid	NNP
amazon	NNP
,	,
eating	VBG
shelly	JJ
snails	NNS
and	CC
things	NNS
.	.
and	CC
he	PRP
had	VBD
a	DT
friend	NN
,	,
a	DT
slow	RB
-	HYPH
solid	JJ
tortoise	NN
,	,
who	WP
lived	VBD
on	IN
the	DT
banks	NNS
of	IN
the	DT
turbid	NNP
amazon	NNP
,	,
eating	VBG
green	JJ
lettuces	NNS
and	CC
things	NNS
.	.
and	CC
so	RB
that	DT
was	VBD
all	RB
right	JJ
,	,
best	RBS
beloved	JJ
.	.
do	VBP
you	PRP
see	VB
?	.
but	CC
also	RB
,	,
and	CC
at	IN
the	DT
same	JJ
time	NN
,	,
in	IN
those	DT
high	JJ
and	CC
far	RB
-	HYPH
off	RP
times	NNS
,	,
there	EX
was	VBD
a	DT
painted	VBN
jaguar	NN
,	,
and	CC
he	PRP
lived	VBD
on	IN
the	DT
banks	NNS
of	IN
the	DT
turbid	NNP
amazon	NNP
too	RB
;	:
and	CC
he	PRP
ate	VBD
everything	NN
that	WDT
he	PRP
could	MD
catch	VB
.	.
when	WRB
he	PRP
could	MD
not	RB
catch	VB
deer	NNS
or	CC
monkeys	NNS
he	PRP
would	MD
eat	VB
frogs	NNS
and	CC
beetles	NNS
;	:
and	CC
when	WRB
he	PRP
could	MD
not	RB
catch	VB
frogs	NNS
and	CC
beetles	NNS
he	PRP
went	VBD
to	IN
his	PRP$
mother	NN
jaguar	NNP
,	,
and	CC
she	PRP
told	VBD
him	PRP
how	WRB
to	TO
eat	VB
hedgehogs	NNS
and	CC
tortoises	NNS
.	.
she	PRP
said	VBD
to	IN
him	PRP
ever	RB
so	RB
many	JJ
times	NNS
,	,
graciously	RB
waving	VBG
her	PRP$
tail	NN
,	,
‘	``
my	PRP$
son	NN
,	,
when	WRB
you	PRP
find	VBP
a	DT
hedgehog	NN
you	PRP
must	MD
drop	VB
him	PRP
into	IN
the	DT
water	NN
and	CC
then	RB
he	PRP
will	MD
uncoil	VB
,	,
and	CC
when	WRB
you	PRP
catch	VBP
a	DT
tortoise	NN
you	PRP
must	MD
scoop	VB
him	PRP
out	IN
of	IN
his	PRP$
shell	NN
with	IN
your	PRP$
paw	NN
.	.
’	''
and	CC
so	RB
that	DT
was	VBD
all	RB
right	JJ
,	,
best	RBS
beloved	JJ
.	.
one	CD
beautiful	JJ
night	NN
on	IN
the	DT
banks	NNS
of	IN
the	DT
turbid	NNP
amazon	NNP
,	,
painted	VBN
jaguar	NNP
found	VBD
stickly	RB
-	HYPH
prickly	JJ
hedgehog	NN
and	CC
slow	RB
-	HYPH
solid	JJ
tortoise	NN
sitting	VBG
under	IN
the	DT
trunk	NN
of	IN
a	DT
fallen	VBN
tree	NN
.	.
they	PRP
could	MD
not	RB
run	VB
away	RB
,	,
and	CC
so	RB
stickly	RB
-	HYPH
prickly	RB
curled	VBD
himself	PRP
up	RP
into	IN
a	DT
ball	NN
,	,
because	IN
he	PRP
was	VBD
a	DT
hedgehog	NN
,	,
and	CC
slow	RB
-	HYPH
solid	JJ
tortoise	NN
drew	VBD
in	IN
his	PRP$
head	NN
and	CC
feet	NNS
into	IN
his	PRP$
shell	NN
as	RB
far	RB
as	IN
they	PRP
would	MD
go	VB
,	,
because	IN
he	PRP
was	VBD
a	DT
tortoise	NN
;	:
and	CC
so	RB
that	DT
was	VBD
all	RB
right	JJ
,	,
best	RBS
beloved	JJ
.	.
do	VBP
you	PRP
see	VB
?	.
‘	``
now	RB
attend	VB
to	IN
me	PRP
,	,
’	''
said	VBD
painted	VBN
jaguar	NNP
,	,
‘	``
because	IN
this	DT
is	VBZ
very	RB
important	JJ
.	.
my	PRP$
mother	NN
said	VBD
that	IN
when	WRB
i	PRP
meet	VBP
a	DT
hedgehog	NN
i	PRP
am	VBP
to	TO
drop	VB
him	PRP
into	IN
the	DT
water	NN
and	CC
then	RB
he	PRP
will	MD
uncoil	VB
,	,
and	CC
when	WRB
i	PRP
meet	VBP
a	DT
tortoise	NN
i	PRP
am	VBP
to	TO
scoop	VB
him	PRP
out	IN
of	IN
his	PRP$
shell	NN
with	IN
my	PRP$
paw	NN
.	.
now	RB
which	WDT
of	IN
you	PRP
is	VBZ
hedgehog	NN
and	CC
which	WDT
is	VBZ
tortoise	NN
?	.
because	IN
,	,
to	TO
save	VB
my	PRP$
spots	NNS
,	,
i	PRP
can	MD
not	RB
tell	VB
.	.
’	''
‘	``
are	VBP
you	PRP
sure	JJ
of	IN
what	WP
your	PRP$
mummy	NN
told	VBD
you	PRP
?	.
’	''
said	VBD
stickly	JJ
-	HYPH
prickly	JJ
hedgehog	NN
.	.
‘	``
are	VBP
you	PRP
quite	RB
sure	JJ
?	.
perhaps	RB
she	PRP
said	VBD
that	IN
