ye	UH
innocent	JJ
fair	JJ
,	,
of	IN
coxcombs	NNPS
beware	VB
,	,
to	TO
flattery	NN
never	RB
give	VB
ear	NN
;	:
try	VB
well	RB
each	DT
pretense	NN
,	,
and	CC
keep	VB
to	IN
plain	JJ
sense	NN
,	,
and	CC
then	RB
you	PRP
have	VBP
little	JJ
to	TO
fear	VB
.	.
little	NNP
b.	NNP
(	-LRB-
taylor	NNP
?	.
)	-RRB-
the	DT
use	NN
of	IN
flowers	NNS
god	NNP
might	MD
have	VB
bade	VBN
the	DT
earth	NN
bring	VB
forth	RB
enough	JJ
for	IN
great	JJ
and	CC
small	JJ
,	,
the	DT
oak	NN
tree	NN
and	CC
the	DT
cedar	NN
tree	NN
,	,
without	IN
a	DT
flower	NN
at	RB
all	RB
.	.
we	PRP
might	MD
have	VB
had	VBN
enough	JJ
,	,
enough	JJ
for	IN
every	DT
want	NN
of	IN
ours	PRP
,	,
for	IN
luxury	NN
,	,
medicine	NN
,	,
and	CC
toil	NN
,	,
and	CC
yet	RB
have	VB
had	VBN
no	DT
flowers	NNS
.	.
the	DT
ore	NN
within	IN
the	DT
mountain	NN
mine	NN
requireth	VBP
none	NN
to	TO
grow	VB
;	:
nor	CC
doth	MD
it	PRP
need	VB
the	DT
lotus	NN
flower	NN
to	TO
make	VB
the	DT
river	NN
flow	VB
.	.
the	DT
clouds	NNS
might	MD
give	VB
abundant	JJ
rain	NN
,	,
the	DT
nightly	JJ
dews	NNS
might	MD
fall	VB
,	,
and	CC
the	DT
herb	NN
that	WDT
keepeth	VBZ
life	NN
in	IN
man	NN
might	MD
yet	RB
have	VB
drunk	VBN
them	PRP
all	DT
.	.
then	RB
wherefore	WRB
,	,
wherefore	WRB
were	VBD
they	PRP
made	VBN
,	,
all	DT
dyed	VBN
with	IN
rainbow	NN
light	NN
,	,
all	DT
fashioned	VBN
with	IN
supremest	JJS
grace	NN
,	,
upspringing	VBG
day	NN
and	CC
night	NN
,	,
springing	VBG
in	IN
valleys	NNS
green	JJ
and	CC
low	JJ
,	,
and	CC
on	IN
the	DT
mountain	NN
high	RB
,	,
and	CC
in	IN
the	DT
silent	JJ
