oh	UH
,	,
dear	NN
!	.
what	WP
do	VBP
you	PRP
think	VB
happened	VBD
?	.
a	DT
wasp	NN
flew	VBD
out	RB
and	CC
stung	VBD
her	PRP$
lips	NNS
;	:
then	RB
both	DT
wasp	NN
and	CC
box	NN
vanished	VBD
,	,
and	CC
may	MD
was	VBD
left	VBN
to	TO
cry	VB
alone	JJ
,	,
with	IN
a	DT
sharp	JJ
pain	NN
in	IN
the	DT
lips	NNS
that	WDT
said	VBD
the	DT
unkind	JJ
words	NNS
.	.
"	``
what	WDT
a	DT
dreadful	JJ
present	NN
!	.
i	PRP
do	VBP
n't	RB
like	VB
that	DT
spiteful	JJ
fairy	NN
who	WP
sends	VBZ
such	JJ
horrid	JJ
things	NNS
,	,
"	''
she	PRP
sobbed	VBD
.	.
then	RB
she	PRP
lay	VBD
still	JJ
and	CC
thought	VBD
about	IN
it	PRP
;	:
for	IN
she	PRP
dared	VBD
not	RB
call	VB
any	DT
one	NN
,	,
because	IN
nobody	NN
must	MD
guess	VB
the	DT
secret	NN
.	.
she	PRP
knew	VBD
in	IN
her	PRP$
own	JJ
little	JJ
heart	NN
that	IN
the	DT
cross	JJ
words	NNS
hurt	VBD
nursey	NNP
as	IN
the	DT
sting	NN
did	VBD
her	PRP$
lips	NNS
,	,
and	CC
she	PRP
felt	VBD
sorry	JJ
.	.
at	IN
once	RB
the	DT
smart	JJ
got	VBD
better	JJR
,	,
and	CC
by	IN
the	DT
time	NN
she	PRP
had	VBD
resolved	VBN
to	TO
ask	VB
the	DT
good	JJ
old	JJ
woman	NN
to	TO
forgive	VB
her	PRP
,	,
it	PRP
was	VBD
all	RB
gone	VBN
.	.
next	JJ
morning	NN
she	PRP
kissed	VBD
nursey	NNP
and	CC
begged	VBD
pardon	NN
,	,
and	CC
tried	VBD
hard	RB
to	TO
be	VB
good	JJ
till	IN
tea	NN
-	HYPH
time	NN
;	:
then	RB
she	PRP
ran	VBD
to	TO
see	VB
what	WP
nice	JJ
things	NNS
they	PRP
were	VBD
going	VBG
to	TO
have	VB
to	TO
eat	VB
,	,
though	IN
she	PRP
had	VBD
often	RB
been	VBN
told	VBN
not	RB
to	TO
go	VB
into	IN
the	DT
dining	NN
-	HYPH
room	NN
.	.
no	DT
one	NN
was	VBD
there	RB
;	:
and	CC
on	IN
the	DT
table	NN
stood	VBD
a	DT
dish	NN
of	IN
delicious	JJ
little	JJ
cakes	NNS
,	,
all	DT
white	JJ
like	IN
snowballs	NNS
.	.
"	``
i	PRP
must	MD
have	VB
just	RB
a	DT
taste	NN
,	,
and	CC
iwill	MD
tell	VB
mamma	NNP
afterward	RB
,	,
"	''
she	PRP
said	VBD
;	:
and	CC
before	IN
she	PRP
knew	VBD
it	PRP
one	CD
little	JJ
cake	NN
was	VBD
eaten	VBN
all	RB
up	RP
.	.
"	``
nobody	NN
will	MD
miss	VB
it	PRP
,	,
and	CC
i	PRP
can	MD
have	VB
another	DT
at	IN
tea	NN
.	.
now	RB
,	,
a	DT
lump	NN
of	IN
sugar	NN
and	CC
a	DT
sip	NN
of	IN
cream	NN
before	IN
mamma	NN
comes	VBZ
,	,
i	PRP
so	RB
like	VBP
to	TO
pick	VB
round	RB
.	.
"	``
having	VBG
done	VBN
one	CD
wrong	JJ
thing	NN
,	,
may	MD
felt	VBD
like	IN
going	VBG
on	RB
;	:
so	RB
she	PRP
nibbled	VBD
and	CC
meddled	VBD
with	IN
all	DT
sorts	NNS
of	IN
forbidden	JJ
things	NNS
till	IN
she	PRP
heard	VBD
a	DT
step	NN
,	,
then	RB
she	PRP
ran	VBD
away	RB
;	:
and	CC
by	RB
and	CC
by	IN
,	,
when	WRB
the	DT
bell	NN
rang	VBD
,	,
came	VBD
in	RP
with	IN
the	DT
rest	NN
as	RB
prim	JJ
and	CC
proper	JJ
as	IN
if	IN
she	PRP
did	VBD
not	RB
know	VB
how	WRB
to	TO
play	VB
pranks	NNS
.	.
no	DT
one	NN
missed	VBD
the	DT
cake	NN
,	,
and	CC
her	PRP$
mother	NN
gave	VBD
her	PRP
another	DT
,	,
saying	VBG
,	,
"	``
there	EX
,	,
dear	NN
,	,
is	VBZ
a	DT
nice	JJ
plummy	JJ
one	NN
for	IN
my	PRP$
good	JJ
child	NN
.	.
"	''
may	NNP
turned	VBD
red	JJ
,	,
and	CC
wanted	VBD
to	TO
tell	VB
what	WP
she	PRP
had	VBD
done	VBN
,	,
but	CC
was	VBD
ashamed	JJ
because	IN
there	EX
was	VBD
company	NN
;	:
and	CC
people	NNS
thought	VBD
she	PRP
blushed	VBD
like	IN
a	DT
modest	JJ
little	JJ
girl	NN
at	IN
being	VBG
praised	VBN
.	.
but	CC
when	WRB
she	PRP
went	VBD
to	IN
bed	NN
she	PRP
was	VBD
almost	RB
afraid	JJ
to	TO
look	VB
under	IN
the	DT
pillow	NN
,	,
knowing	VBG
that	IN
she	PRP
had	VBD
done	VBN
wrong	RB
.	.
at	IN
last	RB
she	PRP
slowly	RB
drew	VBD
out	RP
the	DT
box	NN
,	,
and	CC
slowly	RB
opened	VBD
it	PRP
,	,
expecting	VBG
something	NN
to	TO
fly	VB
at	IN
her	PRP
.	.
all	DT
she	PRP
saw	VBD
was	VBD
a	DT
tiny	JJ
black	JJ
bag	NN
,	,
that	WDT
began	VBD
at	IN
once	RB
to	TO
grow	VB
larger	JJR
,	,
till	IN
it	PRP
was	VBD
big	JJ
enough	RB
to	TO
hold	VB
her	PRP
two	CD
hands	NNS
.	.
then	RB
it	PRP
tied	VBD
itself	PRP
tight	RB
round	IN
her	PRP$
wrists	NNS
,	,
as	IN
if	IN
to	TO
keep	VB
these	DT
meddlesome	JJ
hands	NNS
out	IN
of	IN
mischief	NN
.	.
"	``
well	UH
,	,
this	DT
is	VBZ
very	RB
queer	JJ
,	,
but	CC
not	RB
so	RB
dreadful	JJ
as	IN
the	DT
wasp	NN
.	.
i	PRP
hope	VBP
no	DT
one	NN
will	MD
see	VB
it	PRP
when	WRB
iam	PRP
asleep	JJ
.	.
i	PRP
do	VBP
wish	VB
ihad	PRP
or	CC
would	MD
let	VB
those	DT
cakes	NNS
and	CC
things	NNS
alone	RB
,	,
"	''
sighed	VBD
may	NNP
,	,
looking	VBG
at	IN
the	DT
black	JJ
bag	NN
,	,
and	CC
vainly	RB
trying	VBG
to	TO
get	VB
her	PRP$
