how	WRB
wearied	JJ
and	CC
miserable	JJ
the	DT
indian	JJ
gentleman	NN
looked	VBD
!	.
his	PRP$
hand	NN
dropped	VBD
from	IN
mr	NNP
.	NNP
carmichael	NNP
's	POS
.	.
"	``
then	RB
the	DT
search	NN
has	VBZ
to	TO
be	VB
begun	VBN
over	RB
again	RB
,	,
"	''
he	PRP
said	VBD
.	.
"	``
that	DT
is	VBZ
all	DT
.	.
please	UH
sit	VB
down	RP
.	.
"	''
mr	NNP
.	NNP
carmichael	NNP
took	VBD
a	DT
seat	NN
.	.
somehow	RB
,	,
he	PRP
had	VBD
gradually	RB
grown	VBN
fond	JJ
of	IN
this	DT
unhappy	JJ
man	NN
.	.
he	PRP
was	VBD
himself	PRP
so	RB
well	RB
and	CC
happy	JJ
,	,
and	CC
so	RB
surrounded	VBN
by	IN
cheerfulness	NN
and	CC
love	NN
,	,
that	IN
desolation	NN
and	CC
broken	JJ
health	NN
seemed	VBD
pitifully	RB
unbearable	JJ
things	NNS
.	.
if	IN
there	EX
had	VBD
been	VBN
the	DT
sound	NN
of	IN
just	RB
one	CD
gay	JJ
little	JJ
high	JJ
-	HYPH
pitched	JJ
voice	NN
in	IN
the	DT
house	NN
,	,
it	PRP
would	MD
have	VB
been	VBN
so	RB
much	RB
less	RBR
forlorn	JJ
.	.
and	CC
that	IN
a	DT
man	NN
should	MD
be	VB
compelled	VBN
to	TO
carry	VB
about	RB
in	IN
his	PRP$
breast	NN
the	DT
thought	NN
that	IN
he	PRP
had	VBD
seemed	VBN
to	TO
wrong	VB
and	CC
desert	VB
a	DT
child	NN
was	VBD
not	RB
a	DT
thing	NN
one	PRP
could	MD
face	VB
.	.
"	``
come	VB
,	,
come	VB
,	,
"	''
he	PRP
said	VBD
in	IN
his	PRP$
cheery	JJ
voice	NN
;	:
"	``
wewill	MD
find	VB
her	PRP
yet	RB
.	.
"	``
"	``
we	PRP
must	MD
begin	VB
at	IN
once	RB
.	.
no	DT
time	NN
must	MD
be	VB
lost	VBN
,	,
"	''
mr	NNP
.	NNP
carrisford	NNP
fretted	VBD
.	.
"	``
have	VBP
you	PRP
any	DT
new	JJ
suggestion	NN
to	TO
make	VB
any	DT
whatsoever	RB
?	.
"	''
mr	NNP
.	NNP
carmichael	NNP
felt	VBD
rather	RB
restless	JJ
,	,
and	CC
he	PRP
rose	VBD
and	CC
began	VBD
to	TO
pace	VB
the	DT
room	NN
with	IN
a	DT
thoughtful	JJ
,	,
though	IN
uncertain	JJ
face	NN
.	.
"	``
well	RB
,	,
perhaps	RB
,	,
"	''
he	PRP
said	VBD
.	.
"	``
i	PRP
do	VBP
n't	RB
know	VB
what	WP
it	PRP
may	MD
be	VB
worth	JJ
.	.
the	DT
fact	NN
is	VBZ
,	,
an	DT
idea	NN
occurred	VBD
to	IN
me	PRP
as	IN
i	PRP
was	VBD
thinking	VBG
the	DT
thing	NN
over	RP
in	IN
the	DT
train	NN
on	IN
the	DT
journey	NN
from	IN
dover	NNP
.	.
"	``
